time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446500000	17.3529	5.45174	5.03786	0.842143	0.412142	lidar	0.224499	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5094	5.61985	4.98432	0.861432	0.414784	radar	3.22518	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6996	5.75097	4.9501	0.855898	0.387312	lidar	1.48294	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8442	5.94491	4.90698	0.886046	0.404383	radar	1.22044	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0173	6.13831	4.92678	0.901704	0.399361	lidar	0.67252	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1671	6.34418	4.93644	0.925658	0.403855	radar	0.722071	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2895	6.58154	4.96013	0.963789	0.422566	lidar	0.735488	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4219	6.79316	4.95081	0.99077	0.431012	radar	0.317513	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5675	6.93593	4.88371	0.990165	0.408361	lidar	1.90053	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7157	7.14273	4.91795	1.00262	0.395885	radar	0.598419	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9089	7.28709	4.88741	0.98655	0.358602	lidar	3.89162	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9988	7.4891	4.81225	1.02329	0.386336	radar	4.09304	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0916	7.74918	4.85681	1.06586	0.410324	lidar	1.29488	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.212	7.95662	4.85757	1.08219	0.404856	radar	0.264333	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2917	8.17261	4.83738	1.11235	0.415286	lidar	1.44525	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3903	8.38367	4.83969	1.13009	0.408579	radar	2.26843	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4838	8.53477	4.74619	1.1364	0.394642	lidar	3.86695	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5751	8.74341	4.72144	1.15884	0.400285	radar	0.573103	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7337	8.92065	4.70576	1.14819	0.368876	lidar	4.13547	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8083	9.14135	4.67967	1.17918	0.387292	radar	1.00647	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9374	9.36734	4.71359	1.18652	0.3748	lidar	2.97689	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9851	9.58704	4.65824	1.22673	0.406568	radar	2.76729	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0726	9.82655	4.69032	1.24726	0.406622	lidar	0.733587	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1334	10.0743	4.7303	1.27377	0.409664	radar	7.13497	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1826	10.3454	4.78438	1.30886	0.424213	lidar	0.944691	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2013	10.5782	4.74322	1.35243	0.456098	radar	3.17254	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2599	10.8517	4.80544	1.37892	0.459378	lidar	2.01896	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2892	11.1066	4.83165	1.4087	0.464727	radar	4.91216	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3233	11.3466	4.83302	1.43282	0.465603	lidar	0.00293543	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2742	11.5906	4.77265	1.50208	0.53156	radar	11.5275	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3442	11.8344	4.79185	1.50884	0.511533	lidar	4.46287	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3677	12.069	4.81235	1.51946	0.484631	radar	3.37463	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3549	12.3563	4.87954	1.55675	0.496816	lidar	1.23325	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3078	12.5927	4.83473	1.61107	0.541786	radar	3.72683	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3317	12.8344	4.83675	1.62475	0.528501	lidar	1.6537	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.319	13.0649	4.81456	1.65208	0.533216	radar	2.13234	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.284	13.28	4.77847	1.68165	0.536547	lidar	1.0763	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2451	13.5138	4.77782	1.70996	0.535928	radar	1.28048	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2236	13.7739	4.8124	1.73227	0.531069	lidar	1.23912	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1684	14.0005	4.79066	1.76836	0.546793	radar	0.980479	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1127	14.2569	4.82552	1.79803	0.548622	lidar	0.366843	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0408	14.485	4.81977	1.83064	0.553861	radar	1.43278	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9324	14.7405	4.86761	1.87361	0.568148	lidar	1.39164	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8651	14.9579	4.85062	1.89366	0.553223	radar	3.30996	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
